open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1581.168871498,1588.4660007807,1563.1123386401,1569.791529204,2649954,600519.SH,2024-03-13,贵州茅台,NA,CNY
1562.1127318891,1576.5070691044,1555.2972313136,1559.9590337072,1940479,600519.SH,2024-03-14,贵州茅台,NA,CNY
1556.2059647237,1574.2897595838,1555.7515980187,1560.7405444399,1783358,600519.SH,2024-03-15,贵州茅台,NA,CNY
1558.4777982488,1562.8851552876,1543.9380636879,1552.352935065,2605501,600519.SH,2024-03-18,贵州茅台,NA,CNY
1547.5729973281,1562.9669412945,1538.5856239027,1552.1348390466,2394753,600519.SH,2024-03-19,贵州茅台,NA,CNY
1547.9001413558,1557.2782701476,1545.0558057823,1553.5706378345,1524925,600519.SH,2024-03-20,贵州茅台,NA,CNY
1552.2075377194,1562.1127318891,1548.9360974432,1553.0253977885,1659597,600519.SH,2024-03-21,贵州茅台,NA,CNY
1549.4177261506,1553.0163104544,1533.9419961773,1546.0735872015,2545614,600519.SH,2024-03-22,贵州茅台,NA,CNY
1543.5200463193,1543.7290550036,1527.1991942746,1534.8598169214,2447285,600519.SH,2024-03-25,贵州茅台,NA,CNY
1533.4512801358,1556.4785847467,1533.4512801358,1553.2889304774,2806907,600519.SH,2024-03-26,贵州茅台,NA,CNY
1549.3904641483,1555.7515980187,1543.9380636879,1545.755530508,1811258,600519.SH,2024-03-27,贵州茅台,NA,CNY
1540.3031300477,1561.203998479,1538.6674099096,1546.3371198905,2464218,600519.SH,2024-03-28,贵州茅台,NA,CNY
1546.3371198905,1554.8337772745,1543.1202036189,1547.4821239871,1345655,600519.SH,2024-03-29,贵州茅台,NA,CNY
1553.9250438644,1575.7437330399,1552.7527777655,1564.2300807345,2713137,600519.SH,2024-04-01,贵州茅台,NA,CNY
1564.8389321192,1567.5560450153,1549.4359008188,1557.5599775047,2544925,600519.SH,2024-04-02,贵州茅台,NA,CNY
1575.7437330399,1580.6872427906,1553.9523058667,1558.5777589239,2904580,600519.SH,2024-04-03,贵州茅台,NA,CNY
1540.3031300477,1541.2118634577,1510.8601675618,1514.5496252066,5916659,600519.SH,2024-04-08,贵州茅台,NA,CNY
1509.1063120804,1520.3109950264,1507.0889239101,1510.514848866,2558982,600519.SH,2024-04-09,贵州茅台,NA,CNY
1510.5602855365,1513.0320404118,1494.8664595448,1497.5744851068,2763050,600519.SH,2024-04-10,贵州茅台,NA,CNY
1490.4227531696,1499.4101265951,1485.4974180871,1497.592659775,2276624,600519.SH,2024-04-11,贵州茅台,NA,CNY
1500.3188600051,1512.1323943359,1484.8976540365,1484.8976540365,2674433,600519.SH,2024-04-12,贵州茅台,NA,CNY
1485.7882127783,1522.6827892267,1485.760950776,1520.2928203582,3581771,600519.SH,2024-04-15,贵州茅台,NA,CNY
1513.4864071169,1526.2722861964,1507.5887272856,1517.5847947962,2626623,600519.SH,2024-04-16,贵州茅台,NA,CNY
1515.7673279761,1522.3102085285,1506.6799938755,1514.8585945661,2481911,600519.SH,2024-04-17,贵州茅台,NA,CNY
1507.5978146197,1529.3801544588,1506.8435658894,1518.2936068561,2656841,600519.SH,2024-04-18,贵州茅台,NA,CNY
